d_0011,infusion drotrecogin alfa activated
p_CHLO15L,peridex
p_CHLO180S,chloraseptic throat spray
p_CHLO180S,phenaseptic throat spray
p_CHOL4G,cholestyramine
p_CHOL4G,questran
p_CHTH25,chlorthalidone
p_CILO25ES,ciprofloxacin ophth soln
p_CILO25ES,cipro hc
p_CILOS100,cilostazol
p_CILOS100,pletal
p_CILOS100,cilostaz
p_CILOS100,*nf
p_CILOS100,cilo
p_CILOS100,cilos
p_CILOS100,cil
p_CINA30,cinacalcet
p_CINA30,cinacalcet hcl
p_CINA30,sensipar
p_CIPR250,ciprofloxacin
p_CIPR500,ciprofloxacin hcl
p_CISA10I,cisatracurium besylate
p_CISA10I,cisatracurium
p_CITA20,citalopram
p_CITA20,citalopram hydrobromide
p_CLIN150,clindamycin
p_CLIN150,clindamycin hcl
p_CLOB.05C30,clobetasol propionate cream
p_CLOB.05C30,clobetasol
p_CLOB.05O30,clobetasol propionate ointment
p_CLON2P,clonidine tts
p_CLON2P,clonidine patch
p_CLON3P,clonidine patch hr
p_CLON3P,clonidine tts patch
p_CLON5,clonazepam
p_CLOP75,clopidogrel bisulfate
p_CLOP75,clopidogrel
p_CLOP75,clopidogrel desensitization
p_CLOT10,clotrimazole
p_CLOT130C,clotrimazole cream
p_CLOZ100,clozapine
p_CODE30,codeine sulfate
p_CODE30,codeine
p_CODE30I,codeine phosphate
p_COLC6,colchicine
p_COLL30O,collagenase ointment
p_COMB14.7H,albuterol sulfate ipratropium
p_COMB14.7H,combivent
p_COMB14.7H,albuterol ipratropium
p_COMBTAB,lamivudine zidovudine
p_COMP10I,prochlorperazine
p_COSO10O,dorzolamide timolol
p_COSO10O,dorzolamide timolol ophth.
p_COSO5ES,cosopt
p_COSY25I,cosyntropin
p_COZA25,cozaar
p_COZA25,losartan potassium
p_COZAA50,losartan
p_CREO10,creon
p_CRIT6T,critic aid clear
p_CRIT6T,critic aid
p_CRIT6T,critic aid clear af
p_CRIT6T,critic aid skin paste
p_CYAN1I,cyanocobalamin
p_CYAN500,cyanoc
p_CYCL0.05ES,restasis
p_CYCL0.05ES,cyclosporine
p_CYCL1/2ES,cyclopentolate
p_CYCL10,cyclobenzaprine hcl
p_CYCL10,cyclobenzaprine
p_CYCL2O,cyclopentolate phenylephrine
p_DABI150,dabigatran etexilate
p_DABI150,pradaxa
p_DAKINQS,dakins
p_DAKINQS,dakins strength
p_DAPS100,dapsone
p_DARV100,propoxyphene nap. apap
p_DARV100,darvocet
p_DDAV1N,desmopressin nasal
p_DDAV1N,desmopressi
p_DDAV4I,desmopressin acetate
p_DEPA500ER,divalproex sodium er
p_DESI2C,neo*desitin creamy
p_DESI30O,zinc oxide
p_DESI30O,desitin
p_DEX50SY,dex
p_DEX50SY,dext
p_DEX50SY,dextr
p_DEX50SY,dextrose
p_DEX50SY,dextros
p_DEXA15,dexameth
p_DEXA15,dexametha
p_DEXA2,dexamet
p_DEXA2,dexame
p_DEXA2,dexamethason
p_DEXA2,dexam
p_DEXA2,dexamethaso
p_DEXA4,dexa
p_DEXA4,dexamethas
p_DEXA4I,de
p_DEXA4I,dexamethasone
p_DEXA4I,dexamethasone sod phosphate
p_DEXM200I,dexmedetomidine
p_DEXT30L,dextromethorphan poly complex
p_DIAZ5,valium
p_DIAZ5,diazepam
p_DICL10,dicyclomine
p_DICL500,dicloxacillin
p_DIGO125,dig
p_DIGO125,digoxin
p_DIGO25,digo
p_DILA100,phenytoin sodium extended
p_DILA100,phenyt
p_DILA100,dilantin extended
p_DILT30,diltiazem
p_DILT500I,procainamide hcl
p_DIPH25,diphenhydramine hcl
p_DIPH25L,benadryl allergy
p_DIPH25L,diphenhydramine
p_DITU4L,dextromethorphan guaifenesin
p_DIVA125SP,divalproex sod. sprinkles
p_DIVA250,dival
p_DIVA250,divalpro
p_DIVA250,divalproex
p_DIVA500,depakote
p_DIVA500,divalproex sodium
p_DOCU100,docusate sodi
p_DOCU100,docusate sod
p_DOCU100,doc
p_DOCU100,docus
p_DOCU100,docusate sodium
p_DOCU100L,docusate sodiu
p_DOCU100L,docusate so
p_DOCU100L,docusat
p_DOCU100L,docusate
p_DOCU100L,docu
p_DOCU100L,docusa
p_DOFE250,dofetilide
p_DOLA12.5I,dolasetron mesylate
p_DOLA12.5I,anzemet
p_DOLA12.5I,dolasetron mesylate i.v.
p_DONE5,aricept
p_DONE5,donepezil
p_DOPA400I,dopamine
p_DORZ2S,dorzolamide
p_DORZ2S,dorzolamide ophth. soln.
p_DOXA1,doxazosin
p_DOXA1,cardura
p_DOXE25,doxepin hcl
p_DOXE2I,doxercalciferol
p_DOXY100C,doxycycline monohydrate
p_DOXY100C,doxycycline hyclate
p_DOXY100C,doxycy
p_DRON25,dronabinol
p_DROP5I,droperidol
p_DTAP,neo*im*dt acellular pertussis
p_DTO.6ML,opium tincture
p_DTO.6ML,opium deodorized tinc.
p_DULO20,cymbalta
p_DULO20,duloxetine
p_DURA,lacri lube oint
p_DURA,lacri lube
p_DYAZ1,triamterene hydrochlorothiazid
p_DYAZ1,triamterene hydrochlorothiazide
p_DYAZ1,triamterene
d_E0009,unspecified external cause status
d_E8147,motor vehicle traffic accident involving collision pedestri
d_E8162,motor vehicle traffic accident due loss control
d_E8190,motor vehicle traffic accident unspecified nature injuring dr
d_E8192,motor vehicle traffic accident unspecified nature injuring mo
d_E8199,motor vehicle traffic accident unspecified nature injuring
d_E8210,nontraffic accident involving off-road motor vehicle injur
d_E8261,pedal cycle accident injuring pedal cyclist
d_E8490,home accidents
d_E8493,accidents occurring industrial places premises
d_E8495,street highway accidents
d_E8497,accidents occurring residential institution
d_E8498,accidents occurring specified places
d_E8499,accidents occurring unspecified place
d_E8500,accidental poisoning heroin
d_E8501,accidental poisoning methadone
d_E8502,accidental poisoning opiates related narcotics
d_E8504,accidental poisoning aromatic analgesics elsewhere class
d_E8528,accidental poisoning specified sedatives hypnotics
d_E8529,accidental poisoning unspecified sedative hypnotic
d_E8532,accidental poisoning benzodiazepine-based tranquilizers
d_E8538,accidental poisoning specified tranquilizers
d_E8542,accidental poisoning psychostimulants
d_E8543,accidental poisoning central nervous system stimulants
d_E8556,accidental poisoning sympatholytics antiadrenergics
d_E8580,accidental poisoning hormones synthetic substitutes
d_E8583,accidental poisoning agents primarily affecting cardiovascula
d_E8700,accidental cut puncture perforation hemorrhage during surgi
d_E8704,accidental cut puncture perforation hemorrhage during endos
d_E8705,accidental cut puncture perforation hemorrhage during aspir
d_E8706,accidental cut puncture perforation hemorrhage during heart
d_E8708,accidental cut puncture perforation hemorrhage during
d_E8768,specified misadventures during medical care
d_E8780,surgical operation transplant whole organ causing abnorm
d_E8781,surgical operation implant artificial internal device ca
d_E8782,surgical operation anastomosis bypass graft natu
d_E8783,surgical operation formation external stoma causing abno
d_E8784,restorative surgery causing abnormal patient reaction
d_E8785,amputation limbs causing abnormal patient reaction late
d_E8786,removal organ partial total causing abnormal patien
d_E8788,specified surgical operations procedures causing abnor
d_E8790,cardiac catheterization cause abnormal reaction pat
d_E8791,kidney dialysis cause abnormal reaction patient
d_E8792,radiological procedure radiotherapy cause abnormal
d_E8794,aspiration fluid cause abnormal reaction patient
d_E8796,urinary catheterization cause abnormal reaction pat
d_E8798,specified procedures cause abnormal reaction
d_E8799,unspecified procedure cause abnormal reaction patie
d_E8809,accidental fall stairs steps
d_E8810,accidental fall ladder
d_E882,accidental fall out building structure
d_E8830,accident diving jumping water swimming pool
d_E8842,accidental fall chair
d_E8843,accidental fall wheelchair
d_E8844,accidental fall bed
d_E8846,accidental fall commode
d_E8849,accidental fall level another
d_E8859,fall slipping tripping stumbling
d_E887,fracture cause unspecified
d_E8881,fall resulting striking against object
d_E8888,fall
d_E8889,unspecified fall
d_E9010,accident due excessive cold due weather conditions
d_E911,inhalation ingestion food causing obstruction respirat
d_E912,inhalation ingestion object causing obstruction
d_E915,foreign body accidentally entering orifice
d_E9173,striking against struck accidentally furniture sub
d_E9174,striking against struck accidentally stationary obje
d_E9179,accident caused striking against being struck accide
d_E918,caught accidentally between objects
d_E9194,accidents caused woodworking forming machines
d_E9220,accident caused handgun
d_E9248,accident caused hot substance object
d_E9278,overexertion strenuous repetitive movements loa
d_E9283,human bite
d_E9288,accidents
d_E9289,unspecified accident
d_E9290,late effects motor vehicle accident
d_E9291,late effects transport accident
d_E9293,late effects accidental fall
d_E9298,late effects accidents
d_E9299,late effects unspecified accident
d_E9300,penicillins causing adverse effects therapeutic use
d_E9301,antifungal antibiotics causing adverse effects therapeutic us
d_E9305,cephalosporin group causing adverse effects therapeutic use
d_E9307,antineoplastic antibiotics causing adverse effects therapeuti
d_E9308,specified antibiotics causing adverse effects therapeut
d_E9309,unspecified antibiotic causing adverse effects therapeutic us
d_E9310,sulfonamides causing adverse effects therapeutic use
d_E9313,quinoline hydroxyquinoline derivatives causing adverse effec
d_E9315,antiprotozoal drugs causing adverse effects therapeutic
d_E9317,antiviral drugs causing adverse effects therapeutic use
d_E9319,unspecified anti-infectives causing adverse effects
d_E9320,adrenal cortical steroids causing adverse effects therapeutic
d_E9323,insulins antidiabetic agents causing adverse effects ther
d_E9330,antiallergic antiemetic drugs causing adverse effects
d_E9331,antineoplastic immunosuppressive drugs causing adverse effec
d_E9342,anticoagulants causing adverse effects therapeutic use
d_E9344,fibrinolysis-affecting drugs causing adverse effects therapeu
d_E9348,agents affecting blood constituents causing adverse effect
d_E9351,methadone causing averse effects therapeutic use
d_E9352,opiates related narcotics causing adverse effects
d_E9353,salicylates causing adverse effects therapeutic use
d_E9354,aromatic analgesics elsewhere causing adverse
d_E9356,antirheumatics antiphlogistics causing adverse effects ther
d_E9358,specified analgesics antipyretics causing adverse effe
d_E9359,unspecified analgesic antipyretic causing adverse effects
d_E9361,hydantoin derivatives causing adverse effects therapeutic use
d_E9363,unspecified anticonvulsants causing adverse effects
d_E9378,sedatives hypnotics causing adverse effects therape
d_E9379,unspecified sedatives hypnotics causing adverse effects
d_E9383,intravenous anesthetics causing adverse effects therapeutic
d_E9384,unspecified general anesthetics causing adverse effect
d_E9390,antidepressants causing adverse effects therapeutic use
d_E9391,phenothiazine-based tranquilizers causing adverse effects
d_E9392,butyrophenone-based tranquilizers causing adverse effects
d_E9393,antipsychotics neuroleptics major tranquilizers caus
d_E9394,benzodiazepine-based tranquilizers causing adverse effects th
d_E9398,psychotropic agents causing adverse effects therapeutic
d_E9401,opiate antagonists causing adverse effects therapeutic use
d_E9411,parasympatholytics anticholinergics antimuscarinics sp
d_E9412,sympathomimetics adrenergics causing adverse effects therap
d_E9413,sympatholytics antiadrenergics causing adverse effects ther
d_E9420,cardiac rhythm regulators causing adverse effects therapeutic
d_E9421,cardiotonic glycosides drugs similar action causing adver
d_E9422,antilipemic antiarteriosclerotic drugs causing adverse effec
d_E9424,coronary vasodilators causing adverse effects therapeutic use
d_E9426,antihypertensive agents causing adverse effects therape
d_E9429,unspecified agents primarily affecting cardiovascu
d_E9430,antacids antigastric secretion drugs causing adverse effects
d_E9444,diuretics causing adverse effects therapeutic use
d_E9447,uric acid metabolism drugs causing adverse effects therapeuti
d_E9452,skeletal muscle relaxants causing adverse effects therapeutic
d_E9457,antiasthmatics causing adverse effects therapeutic use
d_E9478,drugs medicinal substances causing adverse effects
d_E9479,unspecified drug medicinal substance causing adverse effects
d_E9500,suicide self-inflicted poisoning analgesics antipyretics
d_E9503,suicide self-inflicted poisoning tranquilizers
d_E9504,suicide self-inflicted poisoning specified drugs
d_E9530,suicide self-inflicted injury hanging
d_E9550,suicide self-inflicted injury handgun
d_E956,suicide self-inflicted injury cutting piercing instru
d_E9571,suicide self-inflicted injuries jumping man-ma
d_E9588,suicide self-inflicted injury specified means
d_E9600,unarmed fight brawl
d_E9654,assault unspecified firearm
d_E966,assault cutting piercing instrument
d_E9682,assault striking blunt thrown object
d_E9688,assault specified means
d_E9689,assault unspecified means
d_E969,late effects injury purposely inflicted person
d_E9800,poisoning analgesics antipyretics antirheumatics undet
d_E9804,poisoning specified drugs medicinal substances und
d_E989,late effects injury undetermined whether accidentally pur
p_EFAV600,efavirenz
p_EMLA2.5,lidocaine prilocaine
p_EMLA2.5,emla
p_EMTR200,emtriva
p_EMTR200,emtricitabine oral solution
p_EMTR200,emtricitabine
p_EMYC200L,ery
p_EMYC200L,erythromycin ethylsuccinate suspension
p_EMYC200L,eryth
p_EMYC200L,erythro
p_EMYC200L,erythromycin
p_EMYC200L,erythromycin ethylsuccinate
p_ENAL10,enalapril maleate
p_ENAL25I,enalaprilat
p_ENO3I,enoxaparin
p_ENO3I,dobutamine hcl
p_ENOX100I,lovenox
p_ENOX80I,enoxaparin sodium
p_ENTA200,comtan
p_ENTA200,entacapone
p_EPI15H,epinephrine inhalation
p_EPI1I,epipen
p_EPI1I,epinephrin
p_EPI1I,epinephrine
p_EPI1I,epin
p_EPIPEN0.3I,epineph
p_EPIPEN0.3I,epine
p_EPIPEN0.3I,epinephri
p_EPIPEN0.3I,epi
p_EPIPEN0.3I,epinephrine auto injector
p_EPIS10I,epinephrine hcl
p_EPIS10I,epinephrine base
p_EPIS10I,epinephrine sodium chloride
p_EPLE25,eplerenone
p_EPO4I,epoetin alfa
p_ERGO400T,cholecalciferol
p_ERGO400T,vitamin
p_ERGO50,ergocalciferol
p_ERYT0.5EO,erythromycin ophth oint
p_ERYT250,erythromycin base
p_ESCI10,lexapro
p_ESCI10,escitalopram oxalate
p_ESCI10,lexipro
p_ESMO100I,esmolol
p_ESTR625,estrogens conjugated
p_ETHA400,ethambutol hcl
p_ETOM2I,etomidate
p_EUCE120C,eucerin
p_EUCE120C,hydrocerin
p_EZET10,zetia
p_EZET10,ezetimibe
p_FELO2.5,felodipine
p_FEN625PCA,fentanyl pca
p_FENO145,fenofibrate micronized
p_FENO145,tricor
p_FENO145,fenofibrate
p_FENO145,fenofibric acid
p_FENO48,fenofibrate nanocrystallized
p_FENT25P,duragesic
p_FENT2I,fentanyl citrate
p_FENT50P,fentanyl patch
p_FENT5I,neo*iv*fentanyl
p_FENT75P,fentanyl
p_FERR300L,ferrous
p_FERR325,ferrous sulfate
p_FERR62.5I,ferric gluconate
p_FERRG,ferrous gluconate
p_FEXO60,fexofe
p_FEXO60,fexofenadine
p_FINA5,finasteride
p_FIOC,butalbital acet caffeine
p_FIOC,fioricet
p_FIOC,butalbital acetaminophen caff
p_FIOC,acetaminophen caff butalbital
p_FISH1000,fish oil
p_FLEC50,flecainide acetate
p_FLEC50,flecainide
p_FLEETEN,fleet enema
p_FLEETEN,sodium phosphate
p_FLUC200,fluconazole
p_FLUD100,fludrocortisone acetate
p_FLUD100,florinef
p_FLUM500I,flumazenil
p_FLUT110H,flovent 110mcg
p_FLUT110H,flovent
p_FLUT110HFA,fluticasone
p_FLUT110HFA,fluticasone propionate 110mcg
p_FLUT16N,flonase
p_FLUT16N,fluticasone propionate nasal
p_FLUT16N,flonas
p_FOLI1,folic acid
p_FOLI5I,folic
p_FOND2.5I,fondaparinux sodium
p_FOND2.5I,fondaparinux
p_FOSP100I,fosphenytoin sodium
p_FOSP500I,fosphenytoin
p_FPS45L,fleet
p_FPS45L,fleet phospho soda
p_FURO20,furosemide
p_FURO40,lasix
p_GABA250L,neurontin
p_GABA400,gabapentin
p_GAST30L,gastroview
p_GCSF300I,filgrastim
p_GELCLAIR,gelclair
p_GEMF600,gemfibrozil
p_GENT20I,gentamicin sulfate
p_GENT20I,gentamicin
p_GGAC5L,robit
p_GGAC5L,codeine guaifenesin
p_GGAC5L,guaifenesin ac
p_GGAC5L,guaifenesin codeine phosphate
p_GLAR100I,insulin glargine
p_GLAR100I,glargine
p_GLAR100I,lantus
p_GLIM2,glimepiride
p_GLIM2,amaryl
p_GLIP5,glipizide
p_GLUC10XL,glipizide xl
p_GLUC1I,glucagon emergency
p_GLUC1I,glucagon
p_GLUC5XL,glipiz
p_GLUT10,glutamine
p_GLYB5,glyburide
p_GLYC17,miralax
p_GLYC17,polyethylene glycol
p_GLYC17,glycolax
p_GLYC1I,glyco
p_GLYC1R,glycerin
p_GLYCO4I,glycopyrrolate
p_GLYCSUP,glycerin supps
p_GLYO65OT,ear drops earwax aid
p_GLYO65OT,carbamide peroxide
p_GLYO65OT,debrox
p_GLYO65OT,ear wax removal drops
p_GLYO65OT,ear wax drops
p_GOLY4L,golytely
p_GUAI10,guai
p_GUAI10,guaifenesin
p_GUAI10,gu
p_GUAI10,robitussin chest congestion
p_GUAI10L,guaifenesin dextromethorphan
p_GUAI600T,guaifenesin la
p_GUAI600T,guaifenesin er
p_GUAI600T,guaifen
p_GUAI600T,mucinex
p_GUAI600T,mucine
p_GUAI600T,gua
p_GUAI600T,mucin
p_GUAI600T,mucinex dm
p_GUAI600T,guaifene
p_GUAI600T,guaife
p_GUAI600T,guaif
p_HAEM5I,haemophilus conj. vaccine
p_HAEM5I,haemo
p_HALD5I,haloperidol
p_HC100I,hydrocortisone na succ.
p_HC100I,hydrocortisone na succ
p_HC100I,hydrocor
p_HC20,hydrocortisone
p_HC5,cortef
p_HCTZ25,hydrochlorothiazide
p_HEP10I,hepa
p_HEP10I,heparin dwell
p_HEP1I,heparin lock flush
p_HEP1I,hepari
p_HEP1I,heparin flus
p_HEP1I,heparin lock
p_HEP1I,heparin flu
p_HEP1I,hep
p_HEPA100SYR,heparin flush picc
p_HEPA100SYR,heparin flush hickman
p_HEPA100SYR,heparin flush cvl
p_HEPA100SYR,heparin flush midline
p_HEPA10S,heparin sodium
p_HEPA10SYR,heparin flush
p_HEPA30I,heparin crrt
p_HEPA30I,hepar
p_HEPA5I,heparin
p_HEPA5I,heparin flush crrt
p_HEPAR10I,heparin flush port
p_HEPV10I,neo*im*hepatitis vaccine
p_HUM100I,humalog
p_HUMA75/25I,insulin lispro
p_HUMA75/25I,humalog mix
p_HUMU100I,insulin lispro desensitization protocol
p_HUMU100I,humalog insulin
p_HURRSPRAY,benzocaine spray
p_HURRSPRAY,hurricaine spray
p_HYD12.5PCA,hydromorphone pca
p_HYDC200,hydroxychloroquine sulfate
p_HYDC200,hydroxychloroquine
p_HYDR1C,hydrocortisone cream
p_HYDR2,hydromorphone hcl
p_HYDR20/100NS,hydromorphone infusion comfort care guidelines
p_HYDR2I,hydromorphone
p_HYDU500,hydroxyurea
p_HYDX25,hydroxyzine
p_HYDX25,hydroxyzine hcl
p_HYDZ20I,hydralazine hcl
p_HYDZ20I,hydralazine
p_IBU5S,ibuprofen suspension
p_IBUP400,ibup
p_IBUP400,ibuprofen
p_ICPKIT,icpkit
p_ICPKIT,sodium chloride kit
p_ICPKIT,sodium ch
p_ICPKIT,sodium chlor
p_IMDU30,isosorbide mononi
p_IMDU30,imd
p_IMDU30,isos
p_IMDU30,isosorbide mononitrate
p_IMDU30,isosorbide mononitr
p_IMDU30,imdu
p_IMDU30,isosorbide mononitra
p_IMDU30,isosorb
p_IMDU30,isosorbide er
p_IMDU30,isosorbide monon
p_IMDU60,isosorbide mono
p_IMDU60,isosorbide
p_IN73HI,insulin human
p_INDO25,indomethacin
p_INFL0.5LF,influenza virus vaccine *latex free*
p_INFL0.5LF,influenza virus vaccine
p_INFV,influenza virus
p_INNHI,insul
p_INNHI,insuli
p_INNHI,humulin
p_INNHI,insulin human nph
p_INNHI,insulin nph human recomb
p_INRHI,humulin r
p_INRHI,insulin human regular
p_INRHI,insulin regular human
p_INSULIN,insulin dum
p_INSULIN,insulin
p_INSULIN,insulin sliding scale
p_INSUPUMP,insulin pump
p_INTEG20I,eptifibatide
p_IPRA2H,ipratropium
p_IPRA2H,ipratropium bromide
p_IPRA2H,ipratropium brom
p_IPRA2H,ipratropium bromide neb
p_IPRAPF,ipratropium bromide mdi
p_IPRAPF,atrovent hfa
p_IPRAPF,ipratropium bromide hfa
p_IPRAPF,atrovent
p_IRBE150,avapro
p_IRBE150,irbesartan
p_ISMO10,iso
p_ISON300,isoniazid
p_ISOP1I,isoproterenol hcl
p_ISOP1I,isoproterenol
p_ISOS10,isosorbide dinitrate
p_ISOS10,isordil
p_ISOS20,isordil titradose
p_ISOS20,isosorbi
p_ISOS20,isosorbide din
p_KALE200/50,lopinavir ritonavir
p_KALE200/50,kaletra
p_KAYE15L,sodium polystyrene sulfonate
p_KAYE15L,kayexalate
p_KCL20P,potas
p_KCL20P,potassium
p_KCL20P,potassiu
p_KCL20P,potassium chloride oral sol
p_KCL20P,potass
p_KET15C,ketoconazole
p_KETA200I,ketamine hcl
p_KETA5I,ketamin
p_KETA5I,ketamine
p_KETO15I,ketorolac tromethamine
p_KETO15I,ketorolac
p_KETO15I,keto
p_LABE100I,labetalol hcl
p_LABE100I,labet
p_LABE200,labetalol
p_LACT1000R,lactulose enema
p_LACT12T,lactic acid lotion
p_LACT12T,lac hydrin
p_LACT12T,ammonium lactate
p_LACT12T,amlactin
p_LACT30L,lactulose
p_LACT30L,lactul
p_LAMI100,lami
p_LAMI150,lamivudine
p_LAMO100,lamotrig
p_LAMO100,lamotrigine
p_LAMO100,lamictal
p_LANS15,prevacid 24hr
p_LANS30,lansoprazole
p_LANS30,lansop
p_LANS30,prevacid
p_LANS30L,lansoprazole oral solution
p_LANS30L,lansoprazole oral suspension
p_LANS30L,lansopr
p_LANS30ST,lansoprazole oral disintegrating tab
p_LANS30ST,prevac
p_LANS30ST,lanso
p_LANS30ST,lans
p_LANT500,lanthanum
p_LATA5OS,latanoprost
p_LATA5OS,latanoprost ophth. soln.
p_LATA5OS,xal
p_LATA5OS,xalatan
p_LEPR50I,lepirudin
p_LEUC5,leucovorin calcium
p_LEV500,levofloxacin
p_LEVA0.63L,levalbuterol neb
p_LEVA0.63L,xopenex neb
p_LEVA0.63L,levalbuterol hcl
p_LEVA0.63L,levalbuterol
p_LEVA0.63L,xopenex
p_LEVA0.63L,levalbuterol tartrate
p_LEVA0.63L,xopenex hfa
p_LEVA0.63L,levalbuterol soln
p_LEVA0.63L,leva
p_LEVE100L,levetiracetam solution
p_LEVE100L,levetiracetam oral solution
p_LEVE500,keppra
p_LEVE500,levetiracetam
p_LEVO100,levoxyl
p_LEVO100,synth
p_LEVO112,levothy
p_LEVO125,levothyroxine
p_LEVO150,levo
p_LEVO25,synt
p_LEVO25,neo*po*levothyroxine suspension
p_LEVO25,levothyroxine sodium
p_LEVO4I,norepinephrine
p_LEVO75,levoth
p_LEVS125,hyo
p_LEVS125,hyoscyamine
p_LEVS125,hyoscyamine sl
p_LEVS125,hyosc
p_LEVS125,levsin
p_LEVS125,hyoscyami
p_LID2J,lidocaine jelly
p_LIDO0550I,lidocain
p_LIDO100S,lidocaine
p_LIDO1I,xylocaine
p_LIDO1I,lidocaine pf
p_LIDO2/5J,lidocaine jel
p_LIDO20L,lidocaine viscous
p_LIDO5O,lidocaine ointment
p_LIDO5O,lidoc
p_LIDO5O,lidoca
p_LIDO5T,lidoderm patches
p_LIDO5T,lidocaine patch
p_LIDO5T,lidoderm
p_LIDOPF130I,lidocaine p.f.
p_LIEPI20I,lidocaine epinephrine
p_LINE600,linezolid
p_LISI5,lisinopril
p_LITH300C,lithium carbonate
p_LOMO,diphenoxylate atropine
p_LOPE2,imodium
p_LOPE2,loper
p_LOPE2,loperamide
p_LOPE2,loperamide hcl
p_LORA1,loraz
p_LORA10,claritin
p_LORA10,loratadine
p_LORA2I,neo*po*lorazepam oral concentrate
p_LORA2I,lorazepam
p_LORA2I,loraze
p_LORA5,ativan
p_LOVA20,lovastatin
p_LOVA20,mevacor
p_MAAL148,aluminum magnesium hydrox. simethicone
p_MAAL30L,aluminum magnesium hydroxide
p_MAAL30L,aluminum
p_MAAL30L,maalox
p_MAALLIDO120L,maalox lidocaine
p_MABELI120,maalox diphenhydramine lidocaine
p_MABELI120,maalox benadryl lidocaine
p_MABELI120,maa
p_MACR100,nitrofurantoin monohyd
p_MAG2PM,magnesium
p_MAGCITL,magnesium citrate
p_MAGN400,magnesium oxide
p_MAGO140,uro mag
p_MAGS1I,potassium phosphate
p_MAGS1I,magnesium sulfate replacement
p_MAGS1I,magnesium sulfate d5w
p_MAGS1I,magnesium sulfate
p_MANN100I,mannitol
p_MANN25I,mann
p_MAXI1ES,dexamethasone ophthalmic soln
p_MBLU1I,methylene blue
p_MBLU1I,methylene
p_MCT4L,medium chain triglycerides
p_MCT4L,mct oil
p_MCT4L,neo*po*mct oil
p_MECL125,meclizine
p_MECL125,meclizine hcl
p_MEGE40,megestrol acetate
p_MEGE400L,mege
p_MEGE400L,megestro
p_MEGE400L,meges
p_MEGE400L,mega
p_MEGE400L,megestrol
p_MEGE400L,megace oral
p_MEGE400L,megestrol oral soln
p_MEGE400L,megestrol oral suspension
p_MEGE400L,megace
p_MEMA5,memantine hcl
p_MEMA5,memantine
p_MEMA5,namenda
p_MENA0.5I,meningococcal conj vaccine
p_MENA0.5I,"meningococ vac a,c,y,w135"
p_MEPE50I,mepe
p_MEPE50I,meperidine hcl
p_MEPE50I,meperi
p_MEPE50I,meperidine
p_MESA400,asacol
p_MESA400,mesalamine dr
p_METAMOR,metamucil smooth texture
p_METAMOR,psyllium
p_METC500,methocarbamol
p_METD5,methadone hcl
p_METF500,metformin
p_METF500XR,metformin hcl
p_METF500XR,glucop
p_METF500XR,glucophage xr
p_METF500XR,glucoph
p_METF500XR,metformin xr
p_METH10L,methadon
p_METH125I,methylprednisolone
p_METH12I,methylnaltrexone
p_METH40,methadone
p_METH40I,methylprednisolone na succ.
p_METH40I,methylprednisolone sodium succ
p_METH40I,methylprednisolone na succ
p_METH5,methimazole
p_METL25,metolazone
p_METL5,zaroxolyn
p_METO10,metoclopramide hcl
p_METO10I,metoclopramide
p_METO25,metoprolol tartrate
p_METO50,metoprolol
p_METR500,metronidazole
p_MEXI150,mexiletine
p_MEXI150,mexiletine hcl
p_MICO2C,miconazole cream
p_MICO2C,micon
p_MICO2P,miconazol
p_MICO2P,miconazole powder
p_MICO3SUPP,miconazole nitrate
p_MICO745C,miconazole nitrate vag cream
p_MICROK10,potassium chloride
p_MICROK10,micro
p_MICROK10,dur
p_MICROK10,potassium chloride replacement
p_MICROK10,pota
p_MICROK10,lor
p_MIDA2I,midazolam
p_MIDA2I,midazolam hcl
p_MIDO25,midodrine
p_MIDO5,midodrine hcl
p_MINE30L,mineral oil
p_MINX25,minoxidil
p_MIRT15,mirtazapine
p_MODA100,provigil
p_MODA100,modafinil
p_MOEX15,moexipril hcl
p_MOEX15,moexipril
p_MOM30L,milk magnesia
p_MONI7C,miconazole
p_MONI7C,miconazole nitrate vaginal
p_MONI7C,miconazole nitrate vaginal cream
p_MONT10,montelukast
p_MONT10,singulair
p_MONT10,montelukast sodium
p_MOR10L,morphine
p_MOR10L,morphin
p_MOR10L,morphine su
p_MOR10L,morphine sul
p_MOR10L,morphine sulfat
p_MOR10L,morph
p_MORP100PM,morphine infusion comfort care guidelines
p_MORP15,morphine sulfate ir
p_MORP2I,morphine sulfate
p_MORP50PCA,morphine pca
p_MORPCONC,morphine concentrate
p_MORPCONC,roxanol
p_MORPCONC,morphine sulfa
p_MORPIM,morphine sulfate inhalation
p_MOVIKIT,moviprep
p_MSCO15,morphine sulfate sr
p_MSCO30,morphine sr
p_MTX25,methotrexate sodium
p_MTX25,methotrexate
p_MULT5L,mult
p_MULT5L,mu
p_MULT5L,multivita
p_MULT5L,ther
p_MULT5L,multiple vitamins liq.
p_MULT5L,multivi
p_MULT5L,multivit
p_MULT5L,multivitam
p_MULT5L,mult5l
p_MULT5L,mul
p_MULT5L,multi
p_MULT5L,thera
p_MULT5L,multiv
p_MULTNEO,multivitamin liquid
p_MVI,mvi
p_MVI,hexavitamin
p_MVI,multivitamins
p_MVI10I,multivitamin
p_MVITH,multivitamins minerals
p_MYCO200/1L,mycophenolate mofetil suspension
p_MYCO500T,mycophenolate
